STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,ACTIVITY,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,ADJUSTMENT,,CONVERSION_TYPE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2025-Q2,,4.529706,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2025-Q1,,4.024226,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2024-Q4,,3.686445,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2024-Q3,,3.36087,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2024-Q2,,3.89658,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2024-Q1,,5.302752,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2023-Q4,,6.565399,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2023-Q3,,6.614412,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2023-Q2,,6.826744,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2023-Q1,,4.746244,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2022-Q4,,3.190264,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2022-Q3,,1.594751,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2022-Q2,,2.870305,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2022-Q1,,1.39319,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2021-Q4,,1.142506,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2021-Q3,,2.270206,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2021-Q2,,-4.788963,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2021-Q1,,4.01104,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2020-Q4,,7.632581,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2020-Q3,,7.089566,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2020-Q2,,12.47058,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2020-Q1,,6.180105,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2019-Q4,,3.897016,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2019-Q3,,4.26193,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2019-Q2,,4.736549,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2019-Q1,,3.595261,,A,,0,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,ESP,,Q,,ULCE,,_T,,PA,,V,,GY,,S,,NC,,2018-Q4,,2.453821,,A,,0,,,,2,
